id,metric,tag
k10,torque.mass.air.flow.rate,
k11,torque.throttle.position.manifold,
k12,torque.air.status,
k14,torque.fuel.trim,"bank=1,sensor=1"
k15,torque.fuel.trim,"bank=1,sensor=2"
k16,torque.fuel.trim,"bank=1,sensor=3"
k17,torque.fuel.trim,"bank=1,sensor=4"
k18,torque.fuel.trim,"bank=2,sensor=1"
k19,torque.fuel.trim,"bank=2,sensor=2"
k1a,torque.fuel.trim,"bank=2,sensor=3"
k1b,torque.fuel.trim,"bank=2,sensor=1"
k1f,torque.engine.runtime,
k21,torque.distance_travelled,
k22,torque.fuel.rail.pressure.manifold.vacuum,
k23,torque.fuel.rail.pressure,
k24,torque.o2,sensor=1
k25,torque.o2,sensor=2
k26,torque.o2,sensor=3
k27,torque.o2,sensor=4
k28,torque.o2,sensor=5
k29,torque.o2,sensor=6
k2a,torque.o2,sensor=7
k2b,torque.o2,sensor=8
k2c,torque.egr.commanded,
k2d,torque.egr.error,
k2f,torque.fuel.level,
k3,torque.fuel.status,
k31,torque.distance.travelled.since.codes.cleared,
k32,torque.evap.system.vapour.pressure,
k33,torque.barometric.pressure,
k34,torque.o2.equivalence.ratio,
k3c,torque.catalyst.temperature,"bank=1,sensor=1"
k3d,torque.catalyst.temperature,"bank=2,sensor=1"
k3e,torque.catalyst.temperature,"bank=1,sensor=2"
k3f,torque.catalyst.temperature,"bank=2,sensor=2"
k4,torque.engine.load,
k42,torque.voltage.control.module,
k43,torque.engine.load.absolute,
k44,torque.commanded.equivalence.ratio,
k45,torque.relative.throttle.position,
k46,torque.ambient.air.temp,
k47,torque.absolute.throttle.position.b,
k49,torque.accelerator,pedalposition=d
k4a,torque.accelerator,pedalposition=e
k4b,torque.accelerator,pedalposition=f
k5,torque.engine.coolant.temperature,
k52,torque.ethanol.fuel,
k5a,torque.relative.accelerator.pedal.position,
k5c,torque.engine.oil.temperature,
k6,torque.fuel.trim.bank.1.short.term,
k7,torque.fuel.trim.bank.1.long.term,
k78,torque.exhaust.gas,temperature=1
k79,torque.exhaust.gas,temperature=2
k8,torque.fuel.trim.bank.2.short.term,
k9,torque.fuel.trim.bank.2.long.term,
ka,torque.fuel.pressure,
kb,torque.intake.manifold.pressure,
kb4,torque.transmission.temperature,method=2
kc,torque.engine.rpm,
kd,torque.speed.obd,
ke,torque.timing.advance,
kf,torque.intake.air.temperature,
kfe1805,torque.transmission.temperature,method=1
kff1001,torque.speed.gps,
kff1201,torque.miles.per.gallon.instant,
kff1202,torque.turbo.boost.vacuum.gauge,
kff1203,torque.kilometers.per.litre.instant,
kff1204,torque.trip.distance,
kff1205,torque.trip.average.mpg,
kff1206,torque.trip.average.kpl,
kff1207,torque.litres.per.100.kilometer.instant,
kff1208,torque.trip.average.litres.per.100.km,
